VDO_frame,pigID,head_xmin,head_ymin,head_xmax,head_ymax,body_xmin,body_ymin,body_xmax,body_ymax
4000,2,175,263,263,322,150,132,360,321
4000,3,66,23,125,106,65,23,319,123
4000,4,418,126,481,195,261,123,478,295
4000,5,79,556,152,595,75,360,175,596
4000,6,60,279,133,352,60,123,169,351
4000,7,363,644,436,711,225,566,435,712
4000,8,437,214,495,280,286,202,494,357
4000,9,592,314,665,380,557,313,697,515
4000,10,420,620,467,700,418,595,631,707
4500,1,363,476,419,552,172,471,420,565
4500,2,144,231,224,310,145,132,350,311
4500,3,65,20,128,102,64,21,305,125
4500,4,406,113,473,175,262,110,475,304
4500,5,88,546,163,605,75,358,175,603
4500,6,80,296,153,355,68,114,184,358
4500,7,358,611,419,699,211,535,422,700
4500,8,407,197,479,259,283,199,478,358
4500,9,589,313,669,376,560,313,698,516
4500,10,415,606,467,689,414,592,633,706
5000,1,360,485,419,558,168,449,418,570
5000,2,144,203,213,266,137,117,356,300
5000,3,64,19,131,103,64,19,319,129
5000,4,410,113,476,182,262,114,477,319
5000,5,71,551,143,607,72,357,174,607
5000,6,77,288,163,357,67,118,186,357
5000,7,303,658,378,719,185,564,381,720
5000,8,596,294,652,361,451,217,652,362
5000,9,540,357,613,415,537,356,713,533
5000,10,381,642,454,712,386,621,619,713
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
